Extract_Date,Report_Period,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T5,Departure,International,11822
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T1,Departure,Domestic,256173
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",TBIT West Gates,Departure,Domestic,41620
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT,Departure,Domestic,112401
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T7,Arrival,International,31361
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",TBIT West Gates,Arrival,International,94469
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T4,Departure,Domestic,289360
"2021, December 01, Wednesday 12:00:21 AM","2021, October 01, Friday 12:00:00 AM",T5,Arrival,Domestic,328861
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T8,Arrival,International,1125
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T5,Departure,International,8831
"2022, June 01, Wednesday 12:00:23 AM","2022, April 01, Friday 12:00:00 AM",T6,Departure,International,72269
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T4,Arrival,Domestic,218336
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T2,Arrival,Domestic,376030
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",TBIT,Departure,International,208377
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,184
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T4,Departure,Domestic,196678
"2022, February 04, Friday 08:32:57 AM","2022, January 01, Saturday 12:00:00 AM",T2,Arrival,International,6382
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T7,Arrival,Domestic,217386
"2023, April 01, Saturday 12:01:02 AM","2023, February 01, Wednesday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,42911
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T6,Arrival,International,16391
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T1,Arrival,Domestic,189825
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",TBIT,Departure,Domestic,98313
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T8,Departure,International,5700
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T4,Departure,International,13405
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T2,Departure,Domestic,320957
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T8,Arrival,Domestic,82488
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T1,Departure,Domestic,185211
"2022, June 01, Wednesday 12:00:23 AM","2022, April 01, Friday 12:00:00 AM",T4,Departure,Domestic,245871
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Departure,International,138
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",TBIT West Gates,Arrival,International,96404
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",TBIT,Arrival,Domestic,21372
"2022, May 10, Tuesday 06:01:09 AM","2022, April 01, Friday 12:00:00 AM",T1,Arrival,Domestic,298086
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T7,Departure,International,27678
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",TBIT West Gates,Arrival,Domestic,47284
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T2,Departure,International,25280
"2022, May 10, Tuesday 06:01:09 AM","2022, April 01, Friday 12:00:00 AM",T1,Departure,Domestic,291554
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",T6,Departure,International,43942
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T7,Departure,Domestic,208298
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",TBIT West Gates,Departure,International,78991
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T4,Arrival,International,122
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T8,Departure,Domestic,80323
"2022, June 01, Wednesday 12:00:23 AM","2022, April 01, Friday 12:00:00 AM",T6,Arrival,International,34804
"2022, May 10, Tuesday 06:01:09 AM","2022, April 01, Friday 12:00:00 AM",T7,Arrival,Domestic,296991
"2022, February 07, Monday 03:24:29 PM","2022, January 01, Saturday 12:00:00 AM",TBIT West Gates,Departure,Domestic,44754
"2022, March 01, Tuesday 12:00:19 AM","2022, January 01, Saturday 12:00:00 AM",T7,Arrival,International,33939
"2022, June 01, Wednesday 12:00:23 AM","2022, April 01, Friday 12:00:00 AM",T4,Arrival,Domestic,270232
"2022, April 01, Friday 12:00:18 AM","2022, February 01, Tuesday 12:00:00 AM",T5,Departure,Domestic,256746
"2022, March 10, Thursday 06:01:10 AM","2022, February 01, Tuesday 12:00:00 AM",T7,Arrival,Domestic,233936
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T6,Departure,Domestic,184175
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",TBIT,Arrival,International,295595
"2021, December 10, Friday 06:01:09 AM","2021, November 01, Monday 12:00:00 AM",T8,Departure,International,7114
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",TBIT,Departure,Domestic,118136
"2022, January 01, Saturday 12:00:11 AM","2021, November 01, Monday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,241
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T4,Departure,International,12339
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T7,Departure,Domestic,272513
"2021, August 10, Tuesday 06:01:10 AM","2021, July 01, Thursday 12:00:00 AM",T2,Departure,Domestic,437922
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",TBIT,Departure,International,176665
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T7,Arrival,Domestic,278658
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T4,Arrival,International,3148
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T4,Departure,Domestic,362831
"2022, January 01, Saturday 12:00:11 AM","2021, November 01, Monday 12:00:00 AM",TBIT,Arrival,International,279513
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T4,Arrival,Domestic,358797
"2021, August 10, Tuesday 06:01:10 AM","2021, July 01, Thursday 12:00:00 AM",T2,Arrival,International,1611
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,75326
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T5,Departure,Domestic,443946
"2021, August 06, Friday 09:46:34 AM","2021, July 01, Thursday 12:00:00 AM",T1,Departure,Domestic,258962
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T5,Arrival,Domestic,441360
"2021, August 30, Monday 11:09:52 AM","2021, July 01, Thursday 12:00:00 AM",T8,Departure,Domestic,94555
